"","M1_1_MSS","M1_2_MSS","M5_1_MSS","M5_2_MSS","T49_1_MSS","T49_2_MSS","M42_1_PD","M42_2_PD","M43_1_PD","M43_2_PD","M64_1_PD","M64_2_PD"
"844",101331.1558,97433.02995,71720.98526,105892.5309,130754.7679,108464.15,54015.96785,63312.65623,292251.1459,351577.3869,107886.1462,94210.1766
"845",129858.7293,122244.3429,340797.2135,481735.1645,254058.9922,182815.0706,357072.4572,399023.4904,495879.0341,569648.9798,351403.537,344653.3283
"846",52033.23841,50119.64427,100710.173,133053.2787,103575.792,116811.8347,52523.62629,30274.2902,81461.2676,133651.0188,58886.591,71276.57657
"847",5786.051384,12772.32888,1780.10396,4617.410271,30845.62561,17228.54364,13103.21709,18848.75178,70708.03261,42198.99874,13843.10414,0
"848",916.7449544,2082.624409,7010.013612,3857.765142,73.62157362,2587.344052,491.4274208,4460.788317,74902.93451,2191.479154,2407.618922,3315.281759
"849",6596.33595,1497.884069,0,3807.80206,1690.925931,27247.32709,13867.32486,0,23762.47111,27015.42572,10305.10618,5250.834837
"850",28627.78317,37831.53132,97672.60323,167086.3513,64242.23505,80732.71035,87950.2854,80391.06067,119758.4373,103655.1085,79436.33823,100449.3831
"851",19361.80156,18444.95694,71550.45061,90543.96758,166268.6256,100397.0528,52598.84818,30325.99526,38016.84959,13586.19329,83018.92527,55588.68549
"852",249726.1825,242911.6799,735550.0768,798377.2381,774259.5705,817420.1678,648469.3318,481864.6951,179160.512,185619.7365,311569.3799,423240.3477
"853",24904.45919,32490.4638,69052.32455,95365.73185,136296.0439,101639.961,45714.78213,32496.96992,28774.24197,21260.77269,59653.89042,48905.81353
"854",127344.6138,133941.6009,132913.248,174156.9494,115540.9103,115601.7043,188128.142,152899.9175,88384.48931,65326.79935,124555.1574,147081.523
"855",25007.70622,27221.90703,54400.29975,78013.70986,15640.67147,8372.697136,59042.11903,22927.22731,5111.070142,4350.584651,23738.16372,10726.01577
"856",40721.61457,29202.69172,16198.41318,39369.16411,60913.51796,32750.02916,53942.96184,40382.38886,65623.57551,45033.31826,54415.68387,51379.10199
"857",7657.911115,12295.71142,10991.59138,22246.42267,26625.15048,15535.73974,29768.99369,19602.13337,4643.004117,3205.851787,19981.1223,10751.66914
"858",3346.284903,10989.62716,9463.832857,13317.32933,9739.814693,36324.69124,40025.10058,13019.07945,159.7769712,780.4761317,27442.57951,26504.27978
"859",48676.64972,65400.47551,79488.8157,94666.60456,52138.71892,45024.70262,51853.0652,34665.95293,35155.997,14654.75209,49364.59566,43953.01291
"860",15469.16049,13382.27431,48000.62394,70582.98627,33724.39972,24027.30971,61303.82807,45079.80157,33564.50271,29528.36948,74249.92718,53124.79391
"861",88687.19803,82195.68155,35218.93154,80259.30328,17365.72961,13733.78968,63936.33969,21796.70678,46968.02729,22514.67754,36043.20137,32049.27477
"862",27498.62142,19084.70476,9640.572657,21360.25497,15477.82946,2543.842456,18182.06135,15617.16738,30868.44578,16496.2329,12612.50705,14630.52862
"863",19725.9312,19097.44613,2270.240416,9345.032584,1443.644641,619.1901628,21411.67127,11898.27176,16935.36963,14487.54909,6658.889134,2669.52552
"864",7037.484862,8849.873154,1411.658663,1831.972019,0,0,1163.833477,1681.621651,17287.89342,16842.36546,5651.466772,2432.807491
"865",27799.49104,22894.84406,3392.547796,22472.46937,4227.10265,19526.39338,19265.08182,6271.225654,199313.3204,192874.8472,29403.84447,18373.13986
"866",147075.3409,164157.5314,226105.5228,215168.0399,285789.7774,273118.6155,308490.2832,47243.11445,64367.8492,19989.00355,384465.1454,292713.0056
"867",14880.76412,17196.02345,1587.264824,5034.821627,8327.935328,3992.659908,1819.047972,0,91320.95985,97485.14833,18781.77193,11004.93215
"868",24091.59764,22934.58578,10961.56754,13904.76395,20599.24568,20543.32894,4908.624,9763.261283,56214.81061,43827.54032,33096.1172,32490.5887
"869",54220.10449,52654.63714,24666.32017,44326.77788,28432.38583,36805.74254,11930.17547,14770.53865,41023.14018,42107.55026,8837.383406,2475.984116
"870",90994.4105,93670.59231,135611.1264,206564.2676,441644.9431,459334.5008,371627.1031,339830.3682,860754.5747,954378.0716,511726.1978,428592.3442
"871",31619.01109,24882.1352,323507.4335,519410.0652,77421.59882,125756.2219,783561.7678,783549.4018,832401.9687,991181.6992,1366745.067,1096842.662
"872",35283.40153,56455.19786,6655.363145,11940.91277,47439.36552,52475.91524,1555.784039,0,20761.00193,27863.78206,13982.75892,10858.69704
"873",66281.69607,60036.02555,22890.98417,28113.8816,15371.95601,13142.29942,27849.03016,15813.55034,24957.11041,23908.72155,17450.18063,5296.030694
"874",603702.558,696497.6404,430420.6225,245296.5009,1196841.461,1315983.142,960744.8115,1011204.222,724029.0014,803630.2611,879112.1847,804984.0715
"875",507032.6273,451624.7181,81369.12063,83425.97312,188646.3601,194220.0949,99308.74253,85398.08116,762946.2206,991629.595,98939.43741,77251.10288
"876",1450453.716,1368930.968,492903.5496,553722.7726,632885.319,637996.9113,421341.6124,345175.1105,231895.1798,285687.1592,401758.9418,312601.599
"877",105405.1036,91393.21725,51436.73352,79101.85801,127149.4738,112628.2131,8113.02618,13598.64836,71671.85138,91512.30698,23517.86728,16850.95362
"878",20208.5321,10709.40379,1607.156595,7847.083328,50869.19536,33662.2193,6863.843533,2989.919291,12561.55337,15538.2547,10887.77595,4621.506718
"879",220608.7705,221086.7662,128529.3588,194557.041,366478.519,265132.0619,70066.08653,45805.0203,144540.3578,143043.4357,127173.3943,75614.31995
"880",144928.1047,171151.2319,184515.7821,253724.4649,436600.223,346865.5791,57903.59483,44097.86347,110989.3664,76089.19413,201980.0476,155628.8619
"881",0,0,0,892.3845095,2634.684091,0,0,0,0,0,0,0
"882",0,0,0,0,0,0,0,0,454.5711218,3630.108098,0,0
"883",37933.47775,34805.22421,27630.88007,40050.7637,11769.86774,9642.435128,821.6254512,893.3452017,88140.39491,80338.45871,28460.35436,35274.22665
"884",23780.07342,22481.52003,35806.58742,72036.11976,102482.8315,97615.91592,45791.27639,19203.07752,27143.35243,4511.133883,127346.8476,147958.7518
"885",51897.55883,52190.9207,49358.79643,83235.50768,179730.9285,145714.0077,63776.17906,45198.2397,169719.927,193353.4976,95121.69268,78522.62929
"886",17556.91034,15833.10831,17383.90884,14354.92756,1754.696736,0,0,0,567.3569865,2765.593355,9902.380187,2619.566916
"887",20698.54058,24422.59943,36731.38519,54020.78974,41957.47652,26130.69592,23068.16579,8585.48549,8517.197614,8135.88064,16766.04376,19493.85361
"888",3419.332779,3962.784732,6376.067897,9450.49912,10340.38413,6246.004547,32483.33598,5695.741181,2352.581104,1946.150599,16392.04807,9396.718789
"889",0,2575.666388,844.2712743,2392.944523,2850.976359,4917.520722,1253.405291,0,9551.644424,11547.85913,4928.354224,52.08952447
